regionName,regionPcode,townshipName,townshipPcode,userCount
မွန်ပြည်နယ်,MMR011,ကျိုက်မရော,MMR011002,21
ပဲခူးတိုင်းဒေသကြီး (အရှေ့),MMR007,အုတ်တွင်း,MMR007013,21
ရှမ်းပြည်နယ် (မြောက်),MMR015,သီပေါ,MMR015014,21
ကရင်ပြည်နယ်,MMR003,ကော့ကရိတ်,MMR003006,20
စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005,ရေဦး,MMR005009,20
မန္တလေးတိုင်းဒေသကြီး,MMR010,တောင်သာ,MMR010018,20
ဧရာဝတီတိုင်းဒေသကြီး,MMR017,ပန်းတနော်,MMR017020,20
မကွေးတိုင်းဒေသကြီး,MMR009,ဂန့်ဂေါ,MMR009023,20
မကွေးတိုင်းဒေသကြီး,MMR009,ပေါက်,MMR009021,19
ပဲခူးတိုင်းဒေသကြီး (အနောက်),MMR008,သာယာဝတီ,MMR008007,19
ဧရာဝတီတိုင်းဒေသကြီး,MMR017,ကန်ကြီးထောင့်,MMR017002,19
ဧရာဝတီတိုင်းဒေသကြီး,MMR017,အင်္ဂပူ,MMR017013,19
ရန်ကုန်တိုင်းဒေသကြီး,MMR013,ကော့မှူး,MMR013028,19
ကချင်ပြည်နယ်,MMR001,ဖားကန့်,MMR001009,19
ပဲခူးတိုင်းဒေသကြီး (အနောက်),MMR008,မိုးညို,MMR008013,19
စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005,တန့်ဆည်,MMR005011,18
စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005,အရာတော်,MMR005014,18
တနင်္သာရီတိုင်းဒေသကြီး,MMR006,ရေဖြူ,MMR006004,18
ရခိုင်ပြည်နယ်,MMR012,ပုဏ္ဏားကျွန်း,MMR012002,18
မန္တလေးတိုင်းဒေသကြီး,MMR010,သပိတ်ကျင်း,MMR010012,18
ဧရာဝတီတိုင်းဒေသကြီး,MMR017,ဘိုကလေး,MMR017024,18
စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005,အင်းတော်,MMR005021,18
