regionName,regionPcode,townshipName,townshipPcode,userCount
စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005,ကနီ,MMR005017,6
ရှမ်းပြည်နယ် (အရှေ့),MMR016,မိုင်းဖြတ်,MMR016010,6
ပဲခူးတိုင်းဒေသကြီး (အရှေ့),MMR007,ကျောက်ကြီး,MMR007011,6
ဧရာဝတီတိုင်းဒေသကြီး,MMR017,သာပေါင်း,MMR017003,5
ရှမ်းပြည်နယ် (မြောက်),MMR015,သိန္နီ,MMR015002,5
ရခိုင်ပြည်နယ်,MMR012,ပေါက်တော,MMR012007,5
ကယားပြည်နယ်,MMR002,ဘောလခဲ,MMR002005,5
ရှမ်းပြည်နယ် (တောင်),MMR014,ဖယ်ခုံ,MMR014010,5
ရှမ်းပြည်နယ် (တောင်),MMR014,ကွန်ဟိန်း,MMR014014,5
မကွေးတိုင်းဒေသကြီး,MMR009,ထီးလင်း,MMR009024,5
ကရင်ပြည်နယ်,MMR003,ဖာပွန်,MMR003003,5
မကွေးတိုင်းဒေသကြီး,MMR009,စေတုတ္တရာ,MMR009011,4
ကရင်ပြည်နယ်,MMR003,သံတောင်ကြီး,MMR003004,4
ကချင်ပြည်နယ်,MMR001,မိုးမောက်,MMR001012,4
ပဲခူးတိုင်းဒေသကြီး (အနောက်),MMR008,ပေါက်ခေါင်း,MMR008002,4
ရှမ်းပြည်နယ် (အရှေ့),MMR016,မိုင်းယောင်း,MMR016011,3
စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005,ဟုမ္မလင်း,MMR005034,3
ရှမ်းပြည်နယ် (အရှေ့),MMR016,မိုင်းပျဥ်း,MMR016007,3
ရှမ်းပြည်နယ် (အရှေ့),MMR016,မိုင်းဆတ်,MMR016006,3
ကရင်ပြည်နယ်,MMR003,လှိုင်းဘွဲ့,MMR003002,3
ရခိုင်ပြည်နယ်,MMR012,ရသေ့တောင်,MMR012008,3
ရှမ်းပြည်နယ် (မြောက်),MMR015,ကွမ်းလုံ,MMR015020,3
ချင်းပြည်နယ်,MMR004,တီးတိန်,MMR004004,3
ရခိုင်ပြည်နယ်,MMR012,တောင်ကုတ်,MMR012016,3
ရခိုင်ပြည်နယ်,MMR012,ရမ်းဗြဲ,MMR012013,3
ရှမ်းပြည်နယ် (မြောက်),MMR015,ဟိုပန်,MMR015021,3
စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005,ဗန်းမောက်,MMR005023,2
ချင်းပြည်နယ်,MMR004,မင်းတပ်,MMR004006,2
စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005,ကလေးဝ,MMR005028,2
ရှမ်းပြည်နယ် (တောင်),MMR014,လင်းခေး,MMR014018,2
စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005,မော်လိုက်,MMR005031,2
မကွေးတိုင်းဒေသကြီး,MMR009,မင်းတုန်း,MMR009014,2
တနင်္သာရီတိုင်းဒေသကြီး,MMR006,ဘုတ်ပြင်း,MMR006010,1
ရှမ်းပြည်နယ် (မြောက်),MMR015,တန့်ယန်း,MMR015004,1
ချင်းပြည်နယ်,MMR004,ထန်တလန်,MMR004003,1
ရှမ်းပြည်နယ် (မြောက်),MMR015,ပန်ဆန်း(ပန်ခမ်း),MMR015005,1
ရှမ်းပြည်နယ် (တောင်),MMR014,ရွာငံ,MMR014007,1
ရှမ်းပြည်နယ် (အရှေ့),MMR016,မိုင်းယန်း,MMR016003,1
ရှမ်းပြည်နယ် (မြောက်),MMR015,နမ့်ဆန်,MMR015016,1
ချင်းပြည်နယ်,MMR004,တွန်းဇံ,MMR004005,1
ရှမ်းပြည်နယ် (တောင်),MMR014,ကျေးသီး,MMR014015,0
ရှမ်းပြည်နယ် (အရှေ့),MMR016,မိုင်းလား,MMR016005,0
ရှမ်းပြည်နယ် (တောင်),MMR014,မိုးနဲ,MMR014019,0
ကချင်ပြည်နယ်,MMR001,ဆော့လော်,MMR001006,0
စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005,လဟယ်,MMR005036,0
ရှမ်းပြည်နယ် (တောင်),MMR014,မိုင်းကိုင်,MMR014016,0
ကချင်ပြည်နယ်,MMR001,ပူတာအို,MMR001014,0
စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005,လေရှီး,MMR005035,0
ချင်းပြည်နယ်,MMR004,မတူပီ,MMR004007,0
စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005,ဖောင်းပြင်,MMR005032,0
ရှမ်းပြည်နယ် (အရှေ့),MMR016,မိုင်းခတ်,MMR016002,0
ရှမ်းပြည်နယ် (မြောက်),MMR015,မက်မန်း,MMR015024,0
စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005,ပင်လည်ဘူး,MMR005026,0
ရှမ်းပြည်နယ် (မြောက်),MMR015,ပန်ဝိုင်,MMR015007,0
ကယားပြည်နယ်,MMR002,မယ်စဲ့,MMR002007,0
ရှမ်းပြည်နယ် (မြောက်),MMR015,မန်တုံ,MMR015019,0
ကယားပြည်နယ်,MMR002,ဖရူဆို,MMR002003,0
ကချင်ပြည်နယ်,MMR001,မချမ်းဘော,MMR001016,0
ရှမ်းပြည်နယ် (မြောက်),MMR015,နားဖန်း,MMR015006,0
ကချင်ပြည်နယ်,MMR001,အင်ဂျန်းယန်,MMR001003,0
ရှမ်းပြည်နယ် (မြောက်),MMR015,မိုင်းရယ်,MMR015003,0
ကချင်ပြည်နယ်,MMR001,ဆွမ်ပရာဘွမ်,MMR001015,0
ရန်ကုန်တိုင်းဒေသကြီး,MMR013,ကိုကိုးကျွန်း,MMR013032,0
ရှမ်းပြည်နယ် (မြောက်),MMR015,မိုးမိတ်,MMR015017,0
ရှမ်းပြည်နယ် (တောင်),MMR014,မိုင်းရှူး,MMR014017,0
ကချင်ပြည်နယ်,MMR001,ချီဖွေ,MMR001005,0
ကယားပြည်နယ်,MMR002,ဖားဆောင်း,MMR002006,0
စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005,ခန္တီး,MMR005033,0
ရှမ်းပြည်နယ် (မြောက်),MMR015,မိုင်းမော,MMR015008,0
ကချင်ပြည်နယ်,MMR001,နောင်မွန်း,MMR001017,0
ရှမ်းပြည်နယ် (မြောက်),MMR015,ကုန်းကြမ်း,MMR015023,0
ချင်းပြည်နယ်,MMR004,ပလက်ဝ,MMR004009,0
စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005,မင်းကင်း,MMR005029,0
ရှမ်းပြည်နယ် (တောင်),MMR014,လဲချား,MMR014012,0
ရှမ်းပြည်နယ် (အရှေ့),MMR016,မိုင်းတုံ,MMR016008,0
ရှမ်းပြည်နယ် (တောင်),MMR014,မိုင်းပန်,MMR014021,0
ချင်းပြည်နယ်,MMR004,ကန်ပက်လက်,MMR004008,0
ကချင်ပြည်နယ်,MMR001,ခေါင်လန်ဖူး,MMR001018,0
ကယားပြည်နယ်,MMR002,ရှားတော,MMR002004,0
စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005,နန်းယွန်း,MMR005037,0
ရှမ်းပြည်နယ် (တောင်),MMR014,မောက်မယ်,MMR014020,0
